framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,implementation
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,16777216,0.17269887924194335,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,33554432,0.3067398452758789,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,67108864,0.5665894317626953,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,134217728,1.0698496246337892,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,268435456,1.9847059631347654,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,2,536870912,3.799252624511719,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,128,0.009360640048980714,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,256,0.009395840167999266,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,512,0.009279360175132752,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,1024,0.011132160425186157,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,2048,0.010601600408554077,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,4096,0.010216959714889525,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,8192,0.010383360385894776,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,16384,0.010699520111083985,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,32768,0.010857599973678588,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,65536,0.010908160209655762,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,131072,0.011675519943237305,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,262144,0.014563200473785402,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,524288,0.02009216070175171,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,1048576,0.029585280418395997,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,2097152,0.04722239971160889,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,4194304,0.09698431968688966,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,8388608,0.15374015808105468,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,16777216,0.24974464416503905,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,33554432,0.3735929489135742,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,67108864,0.7034770965576171,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,134217728,1.3718719482421875,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,268435456,2.570032653808594,trtllm
TRTLLM,1.2.0rc5,NVIDIA GH200,all_reduce,TRTLLM,float16,4,536870912,5.0403750610351565,trtllm
